"Anio","Trimestre","Empresa","NombreCorto","NombreLargo","SIC","NAICS","Activos","Inventarios","PasivoCirc","PasivoLP","PPE","CPP","Efectivo","GC","CBV","UOAD","Ventas","IGR","Deuda","CPC","GO","GVGA","Precio_Accion","mkt_capital","No_Acciones"
2016,3,"GRUPO BAFAR S.A.B DE C.V.","BAFAR","GPO. BAFAR",2000,3116,9493.085,1125.712,2428.652,2596.365,4382.53,707.271,287.746,370.877014160156,2100.06396484375,189.460006713867,2885.90087890625,15.5869998931885,2200.15991210938,1393.16491699219,2696.44091796875,596.376953125,10406.0849,10923.8913,1.04975996303855
2016,4,"GRUPO BAFAR S.A.B DE C.V.","BAFAR","GPO. BAFAR",2000,3116,10540.538,971.614,3063.594,2628.074,4970.892,992.072,677.536,227.947998046875,2292.32397460938,251.628005981445,3150.59106445312,21.4500007629395,2286.72705078125,1620.90295410156,2898.96313476562,606.63916015625,4505.1291,11498.9915,2.55242219362815
2017,1,"GRUPO BAFAR S.A.B DE C.V.","BAFAR","GPO. BAFAR",2000,3116,10167.809,951.362,3038.554,2181.789,4858.793,644.828,684.889,281.380004882812,1998.0849609375,169.274993896484,2800.23510742188,23.7110004425049,1897.48901367188,1419.57995605469,2630.96020507812,632.875244140625,4440.4229,11498.9915,2.58961629533079
2017,2,"GRUPO BAFAR S.A.B DE C.V.","BAFAR","GPO. BAFAR",2000,3116,10331.831,963.727,3183.046,2085.503,5098.44,707.604,515.274,375.507995605469,2102.03295898438,208.964996337891,3006.14111328125,27.7630004882812,1773.30297851562,1463.77905273438,2797.17602539062,695.14306640625,1769.4969,11824.6725,6.68250534940186
2017,3,"GRUPO BAFAR S.A.B DE C.V.","BAFAR","GPO. BAFAR",2000,3116,12744.427,1085.034,3594.187,2369.074,2710.21,994.385,1238.798,775.080993652344,2252.07788085938,245.589996337891,3254.4208984375,36.4150009155273,2025.8740234375,1744.11596679688,3008.83081054688,756.7529296875,12446.8745,11849.4789,0.952004368646924
2017,4,"GRUPO BAFAR S.A.B DE C.V.","BAFAR","GPO. BAFAR",2000,3116,12844.78,1210.172,2775.351,3503.947,2440.515,1489.35,402.583,486.579010009766,2687.63403320312,268.114013671875,3674.85400390625,44.8849983215332,2949.45190429688,1898.44592285156,3406.73999023438,719.10595703125,11439.7609,12124.0144,1.05981361900667
2007,2,"GRUPO BIMBO S.A.B DE C.V.","BIMBO","GPO. BIMBO",2050,311812,41289.434,1790.775,8865.706,5133.951,21658.379,4072.105,2498.024,NA,NA,NA,NA,NA,5133.951171875,4711.31298828125,NA,NA,127597.82,78390.59,0.614356812679088
2007,3,"GRUPO BIMBO S.A.B DE C.V.","BIMBO","GPO. BIMBO",2050,311812,43367.481,1821.828,11335.466,3433.381,22304.726,4425.485,3754.039,NA,8439.26953125,1876.90698242188,18316.017578125,176.033996582031,3433.380859375,4739.43310546875,16439.111328125,7999.841796875,45280.06,71806.11,1.58582188274486
2007,4,"GRUPO BIMBO S.A.B DE C.V.","BIMBO","GPO. BIMBO",2050,311812,45280.149,1844.975,11312.215,3419.485,23504.181,4765.979,3993.998,NA,9468.650390625,2081.68701171875,20055.3515625,190.378997802734,3419.48486328125,4855.06201171875,17973.6640625,8505.013671875,25605.93,76485.79,2.98703425339365
2008,1,"GRUPO BIMBO S.A.B DE C.V.","BIMBO","GPO. BIMBO",2050,311812,46770.453,1908.245,11207.313,3393.907,23770.52,3958.158,3913.492,NA,9228.4169921875,1280.78295898438,19026.869140625,173.337997436523,3393.90698242188,5253.3701171875,17746.0859375,8517.6689453125,33938.46,75251.2,2.21728387204369
2008,2,"GRUPO BIMBO S.A.B DE C.V.","BIMBO","GPO. BIMBO",2050,311812,47493.738,2132.967,12947.609,3347.541,24099.629,4297.529,2480.022,NA,9727.3330078125,1378.65795898438,19754.103515625,182.714996337891,3347.541015625,5830.572265625,18375.4453125,8648.1123046875,269117.12,78990.25,0.293516257902879
2008,3,"GRUPO BIMBO S.A.B DE C.V.","BIMBO","GPO. BIMBO",2050,311812,52547.462,2310.172,12580.159,7385.115,24081.442,4199.898,6567.117,2097.81396484375,9993.72265625,2087.26196289062,20683.623046875,142.703002929688,7385.115234375,6296.5341796875,18596.361328125,8602.638671875,124117.45,80812.74,0.651098938948552
2008,4,"GRUPO BIMBO S.A.B DE C.V.","BIMBO","GPO. BIMBO",2050,311812,58505.095,2573.244,11863.321,9078.442,26038.975,5465.339,7339.573,NA,11343.29296875,2581.60107421875,22852.517578125,249.080001831055,9078.4423828125,6873.447265625,20270.916015625,8927.623046875,63493.2,68572.66,1.08000006299887
